Track 1 processed, number of points: 12
Track 220 processed, number of points: 43
Track 221 processed, number of points: 91
Track 222 processed, number of points: 34
Track 223 processed, number of points: 47
Track 224 processed, number of points: 110
Track 225 processed, number of points: 90
Track 226 processed, number of points: 43
Track 227 processed, number of points: 87
Track 228 processed, number of points: 21
Track 229 processed, number of points: 150
Track 230 processed, number of points: 118
Track 231 processed, number of points: 61
Track 232 processed, number of points: 60
Track 233 processed, number of points: 69
Track 234 processed, number of points: 134
Track 235 processed, number of points: 185
Track 236 processed, number of points: 119
Track 237 processed, number of points: 283
Track 238 processed, number of points: 157
Track 239 processed, number of points: 49
Track 240 processed, number of points: 158
Track 241 processed, number of points: 137
Track 242 processed, number of points: 151
Track 243 processed, number of points: 257
Track 244 processed, number of points: 42
Track 245 processed, number of points: 45
Track 246 processed, number of points: 41
Track 247 processed, number of points: 63
Track 248 processed, number of points: 87
Track 249 processed, number of points: 50
Track 250 processed, number of points: 73
Track 251 processed, number of points: 92
Track 252 processed, number of points: 29
Track 253 processed, number of points: 56
Track 254 processed, number of points: 44
Track 255 processed, number of points: 76
Track 256 processed, number of points: 37
Track 257 processed, number of points: 123
Track 258 processed, number of points: 85
Track 259 processed, number of points: 205
Track 260 processed, number of points: 55
Track 261 processed, number of points: 84
Track 262 processed, number of points: 164
Track 263 processed, number of points: 66
Track 264 processed, number of points: 63
Track 265 processed, number of points: 128
Track 266 processed, number of points: 108
Track 267 processed, number of points: 102
Track 268 processed, number of points: 39
Track 269 processed, number of points: 144
Track 270 processed, number of points: 59
Track 271 processed, number of points: 32
Track 272 processed, number of points: 94
Track 273 processed, number of points: 96
Track 274 processed, number of points: 129
Track 275 processed, number of points: 76
Track 276 processed, number of points: 75
Track 277 processed, number of points: 89
Track 278 processed, number of points: 85
Track 279 processed, number of points: 65
Track 280 processed, number of points: 76
Track 281 processed, number of points: 67
Track 282 processed, number of points: 67
Track 283 processed, number of points: 150
Track 284 processed, number of points: 116
Track 285 processed, number of points: 78
Track 286 processed, number of points: 89
Track 287 processed, number of points: 146
Track 288 processed, number of points: 74
Track 289 processed, number of points: 81
Track 290 processed, number of points: 103
Track 291 processed, number of points: 12
Track 292 processed, number of points: 303
Track 293 processed, number of points: 120
Track 294 processed, number of points: 143
Track 295 processed, number of points: 186
Track 296 processed, number of points: 49
Track 297 processed, number of points: 104
Track 298 processed, number of points: 120
Track 299 processed, number of points: 64
Track 300 processed, number of points: 109
Track 301 processed, number of points: 15
